,lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
4098,MXWJM/,,,,,,,,,,,,,,,,,
4099,MXWL/,,,,,,,,,,,,,,,,,
4100,MXWL=/,,,,,,,,,,,,,,,,,
4101,MXZH/,syn,,,,,,,,,,,,,,,,
4102,MXZH=/,"bjælkebugt, krumning opad på skibsdæk",,,,,,,,,,,,,,,,
4103,MXZJ>WT/,,,,,,,,,,,,,,,,,
4104,MXJ/,,,,,,,,,,,,,,,,,
4105,MXJD>/,,,,,,,,,,,,,,,,,
4106,MXJH/,,,,,,,,,,,,,,,,,
4107,MXJJ>L/,,,,,,,,,,,,,,,,,
4108,MXJR/,,,,,,,,,,,,,,,,,
4109,MXJR=/,,,,,,,,,,,,,,,,,
4110,MXLH/,,,,,,,,,,,,,,,,,
4111,MXLH=/,,,,,,,,,,,,,,,,,
4112,MXLH==/,,,,,,,,,,,,,,,,,
4113,MXLH===/,,,,,,,,,,,,,,,,,
4114,MXLH====/,,,,,,,,,,,,,,,,,
4115,MXLWJM/,,,,,,,,,,,,,,,,,
4116,MXLWN/,,,,,,,,,,,,,,,,,
4117,MXLJ/,,,,,,,,,,,,,,,,,
4118,MXLJ=/,,,,,,,,,,,,,,,,,
4119,MXLP/,,,,,,,,,,,,,,,,,
4120,MXLPWT/,,,,,,,,,,,,,,,,,
4121,MXLYWT/,,,,,,,,,,,,,,,,,
4122,MXLQT/,,,,,,,,,,,,,,,,,
4123,MXLT/,,,,,,,,,,,,,,,,,
4124,MXLT=/,,,,,,,,,,,,,,,,,
4125,MXLTJ/,,,,,,,,,,,,,,,,,
4126,MXM>T/,,,,,,,,,,,,,,,,,
4127,MXMD/,,,,,,,,,,,,,,,,,
4128,MXMD=/,,,,,,,,,,,,,,,,,
4129,MXML/,,,,,,,,,,,,,,,,,
4130,MXNH/,"lejr, hær",,,,,,,,,,,,,,,,
4131,MXNH_DN/,,,,,,,,,,,,,,,,,
4132,MXNJM/,Mahanajim,,,,,,,,,,,,,,,,
4133,MXNQ/,,,,,,,,,,,,,,,,,
4134,MXSH/,tilflugtssted,,,,,,,,,,,,,,,,
4135,MXSWM/,,,,,,,,,,,,,,,,,
4136,MXSWR/,,,,,,,,,,,,,,,,,
4137,MXSJH/,,,,,,,,,,,,,,,,,
4138,MXY/,,,,,,,,,,,,,,,,,
4139,MXY[,,,,,,,,,,,,,,,,,
4140,MXYB/,,,,,,,,,,,,,,,,,
4141,MXYH/,,,,,,,,,,,,,,,,,
4142,MXYJT/,,,,,,,,,,,,,,,,,
4143,MXQ[,,,,,,,,,,,,,,,,,
4144,MXQR/,,,,,,,,,,,,,,,,,
4145,MXR/,i morgen,,,,,,,,,,,,,,,,
4146,MXRCH/,,,,,,,,,,,,,,,,,
4147,MXRCT/,,,,,,,,,,,,,,,,,
4148,MXRT/,næste dag,,,,,,,,,,,,,,,,
4149,MXCBH/,"tanke, plan, idé",,,,,,,,,,,,,,,,
4150,MXCBT/,,,,,,,,,,,,,,,,,
4151,MXCK/,,,,,,,,,,,,,,,,,
4152,MXFP/,,,,,,,,,,,,,,,,,
4153,MXT/,,,,,,,,,,,,,,,,,
4154,MXTH/,,,,,,,,,,,,,,,,,
4155,MXTH=/,,,,,,,,,,,,,,,,,
4156,MXTRT/,,,,,,,,,,,,,,,,,
4157,MV>V>/,,,,,,,,,,,,,,,,,
4158,MVBX/,,,,,,,,,,,,,,,,,
4159,MVH/,"stav, stamme, pil, scepter",,,,,,,,,,,,,,,,
4160,MVH=/,seng,,,,,,,,,,,,,,,,
4161,MVH==/,,,,,,,,,,,,,,,,,
4162,MVH===/,,,,,,,,,,,,,,,,,
4163,MVH====/,,,,,,,,,,,,,,,,,
4164,MVH=====/,,,,,,,,,,,,,,,,,
4165,MVWH/,,,,,,,,,,,,,,,,,
4166,MVJL/,,,,,,,,,,,,,,,,,
4167,MVMN/,,,,,,,,,,,,,,,,,
4168,MV</,,,,,,,,,,,,,,,,,
4169,MV<MJM/,,,,,,,,,,,,,,,,,
4170,MVPXT/,,,,,,,,,,,,,,,,,
4171,MVR/,regn,,,,,,,,,,,,,,,,
4172,MVR[,,,,,,,give regn,,,,,,,,,,
4173,MVRD/,,,,,,,,,,,,,,,,,
4174,MVRH/,,,,,,,,,,,,,,,,,
4175,MVRJ/,,,,,,,,,,,,,,,,,
4176,MJ,hvem (interr),,,,,,,,,,,,,,,,
4177,MJ_ZHB/,,,,,,,,,,,,,,,,,
4178,MJDB>/,,,,,,,,,,,,,,,,,
4179,MJDD/,,,,,,,,,,,,,,,,,
4180,MJVB/,,,,,,,,,,,,,,,,,
4181,MJK>/,,,,,,,,,,,,,,,,,
4182,MJK>L/,,,,,,,,,,,,,,,,,
4183,MJKH/,,,,,,,,,,,,,,,,,
4184,MJKJH/,,,,,,,,,,,,,,,,,
4185,MJKJHW/,,,,,,,,,,,,,,,,,
4186,MJKJHW=/,,,,,,,,,,,,,,,,,
4187,MJKL/,,,,,,,,,,,,,,,,,
4188,MJKL=/,,,,,,,,,,,,,,,,,
4189,MJM/,"vand, vande",,,,,,,,,,,,,,,,
4190,MJMN/,,,,,,,,,,,,,,,,,
4191,MJN/,"art, slags",,,,,,,,,,,,,,,,
4192,MJNQT/,,,,,,,,,,,,,,,,,
4193,MJP<T/,,,,,,,,,,,,,,,,,
4194,MJY/,,,,,,,,,,,,,,,,,
4195,MJYJ>JM/,,,,,,,,,,,,,,,,,
4196,MJC>/,,,,,,,,,,,,,,,,,
4197,MJC>L/,,,,,,,,,,,,,,,,,
4198,MJCWR/,slette,,,,,,,,,,,,,,,,
4199,MJCK/,,,,,,,,,,,,,,,,,
4200,MJC</,,,,,,,,,,,,,,,,,
4201,MJC<=/,,,,,,,,,,,,,,,,,
4202,MJCRJM/,retskaffenhed,,,,,,,,,,,,,,,,
4203,MJTR/,,,,,,,,,,,,,,,,,
4204,MK>WB/,smerte,,,,,,,,,,,,,,,,
4205,MKBNH/,,,,,,,,,,,,,,,,,
4206,MKBNJ/,,,,,,,,,,,,,,,,,
4207,MKBR/,,,,,,,,,,,,,,,,,
4208,MKBR=/,,,,,,,,,,,,,,,,,
4209,MKH/,,,,,,,,,,,,,,,,,
4210,MKWH/,,,,,,,,,,,,,,,,,
4211,MKWN/,"sted, fundament",,,,,,,,,,,,,,,,
4212,MKWNH/,,,,,,,,,,,,,,,,,
4213,MKWRH/,,,,,,,,,,,,,,,,,
4214,MKJ/,,,,,,,,,,,,,,,,,
4215,MKJR/,,,,,,,,,,,,,,,,,
4216,MKJRJ/,,,,,,,,,,,,,,,,,
4217,MKK[,,,,,,,,,,,,,,,,,
4218,MKL>/,,,,,,,,,,,,,,,,,
4219,MKLWL/,,,,,,,,,,,,,,,,,
4220,MKLWT/,,,,,,,,,,,,,,,,,
4221,MKLL/,,,,,,,,,,,,,,,,,
4222,MKLLJM/,,,,,,,,,,,,,,,,,
4223,MKLT/,,,,,,,,,,,,,,,,,
4224,MKMNJM/,,,,,,,,,,,,,,,,,
4225,MKMS/,,,,,,,,,,,,,,,,,
4226,MKMR/,,,,,,,,,,,,,,,,,
4227,MKMRT/,,,,,,,,,,,,,,,,,
4228,MKMF/,,,,,,,,,,,,,,,,,
4229,MKMTT/,,,,,,,,,,,,,,,,,
4230,MKNDBJ/,,,,,,,,,,,,,,,,,
4231,MKNH/,,,,,,,,,,,,,,,,,
4232,MKNS/,bukser,,,,,,,,,,,,,,,,
4233,MKS/,,,,,,,,,,,,,,,,,
4234,MKSH/,,,,,,,,,,,,,,,,,
4235,MKSH=/,dække,,,,,,,,,,,,,,,,
4236,MKSH==/,beløb,,,,,,,,,,,,,,,,
4237,MKPLH/,,,,,,,,,,,,,,,,,
4238,MKR/,,,,,,,,,,,,,,,,,
4239,MKR=/,,,,,,,,,,,,,,,,,
4240,MKR[,,sælge,,,,,,,,,,,,,,,
4241,MKRH/,,,,,,,,,,,,,,,,,
4242,MKRH=/,,,,,,,,,,,,,,,,,
4243,MKRJ/,,,,,,,,,,,,,,,,,
4244,MKRTJ/,,,,,,,,,,,,,,,,,
4245,MKCWL/,,,,,,,,,,,,,,,,,
4246,MKCLH/,,,,,,,,,,,,,,,,,
4247,MKTB/,,,,,,,,,,,,,,,,,
4248,MKTH/,,,,,,,,,,,,,,,,,
4249,MKTM/,,,,,,,,,,,,,,,,,
4250,MKTC/,,,,,,,,,,,,,,,,,
4251,ML>/,,,,,,,,,,,,,,,,,
4252,ML>=/,"fylde, overflod",,,,,,,,,,,,,,,,
4253,ML>[,,"være fyldt, fylde (med)","være fyldt, være fyldt med","fylde, fylde med, opfylde",være fyldt (med),"fylde op, være fyldt",,,,,,,,,,,
4254,ML>H/,"overflod, fylde",,,,,,,,,,,,,,,,
4255,ML>H=/,,,,,,,,,,,,,,,,,
4256,ML>JM/,,,,,,,,,,,,,,,,,
4257,ML>K/,"budbringer, engel",,,,,,,,,,,,,,,,
4258,ML>KH/,"arbejde, beskæftigelse, opgave",,,,,,,,,,,,,,,,
4259,ML>KWT/,,,,,,,,,,,,,,,,,
4260,ML>KJ/,,,,,,,,,,,,,,,,,
4261,ML>KT/,"arbejde, opgave",,,,,,,,,,,,,,,,
4262,ML>T/,,,,,,,,,,,,,,,,,
4263,MLBWC/,,,,,,,,,,,,,,,,,
4264,MLBN/,,,,,,,,,,,,,,,,,
4265,MLH/,"ord, budskab",,,,,,,,,,,,,,,,
4266,MLW>/,,,,,,,,,,,,,,,,,
4267,MLWX/,,,,,,,,,,,,,,,,,
4268,MLWK/,,,,,,,,,,,,,,,,,
4269,MLWKH/,"kongedømme, kongelighed",,,,,,,,,,,,,,,,
4270,MLWN/,herberge,,,,,,,,,,,,,,,,
4271,MLWNH/,,,,,,,,,,,,,,,,,
4272,MLWTJ/,,,,,,,,,,,,,,,,,
4273,MLX/,,,,,,,,,,,,,,,,,
4274,MLX=/,"sømand, søfolk",,,,,,,,,,,,,,,,
4275,MLX==/,,,,,,,,,,,,,,,,,
4276,MLX=[,,,,,,,,,,,,,,,,,
4277,MLX[,,,,,,,,,,,,,,,,,
4278,MLXH/,,,,,,,,,,,,,,,,,
4279,MLXMH/,"kamp, krig",,,,,,,,,,,,,,,,
4280,MLXMT/,,,,,,,,,,,,,,,,,
4281,MLV/,,,,,,,,,,,,,,,,,
4282,MLV=[,,,,,,,,,,,,,,,,,
4283,MLV[,,,undslippe,"udfri, redde",,,,,,,,,,,,,
4284,MLVJH/,,,,,,,,,,,,,,,,,
4285,MLJKW/,,,,,,,,,,,,,,,,,
4286,MLJLH/,,,,,,,,,,,,,,,,,
4287,MLJYH/,,,,,,,,,,,,,,,,,
4288,MLK/,konge,,,,,,,,,,,,,,,,
4289,MLK=/,,,,,,,,,,,,,,,,,
4290,MLK==/,,,,,,,,,,,,,,,,,
4291,MLK=[,,,,,,,,,,,,,,,,,
4292,MLK[,,"regere, være konge",,,,,gøre til konge,blive gjort til konge,,,,,,,,,
4293,MLKDT/,,,,,,,,,,,,,,,,,
4294,MLKH/,,,,,,,,,,,,,,,,,
4295,MLKH=/,,,,,,,,,,,,,,,,,
4296,MLKWT/,,,,,,,,,,,,,,,,,
4297,MLKJ_YDQ/,,,,,,,,,,,,,,,,,
4298,MLKJ_CW</,,,,,,,,,,,,,,,,,
4299,MLKJ>L/,,,,,,,,,,,,,,,,,
4300,MLKJ>LJ/,,,,,,,,,,,,,,,,,
4301,MLKJH/,,,,,,,,,,,,,,,,,
4302,MLKJHW/,,,,,,,,,,,,,,,,,
4303,MLKJRM/,,,,,,,,,,,,,,,,,
4304,MLKM/,,,,,,,,,,,,,,,,,
4305,MLKM=/,,,,,,,,,,,,,,,,,
4306,MLKT/,,,,,,,,,,,,,,,,,
4307,MLKT=/,,,,,,,,,,,,,,,,,
4308,MLL==[,,,,,,,,,,,,,,,,,
4309,MLL=[,,,,,,,,,,,,,,,,,
4310,MLL[,,,,,,,,,,,,,,,,,
4311,MLLJ/,,,,,,,,,,,,,,,,,
4312,MLMD/,,,,,,,,,,,,,,,,,
4313,MLY[,,,,,,,,,,,,,,,,,
4314,MLYR/,,,,,,,,,,,,,,,,,
4315,MLQ[,,,,,,,,,,,,,,,,,
4316,MLQWX/,,,,,,,,,,,,,,,,,
4317,MLQWC/,"forårsregn, senregn",,,,,,,,,,,,,,,,
4318,MLQXJM/,,,,,,,,,,,,,,,,,
4319,MLQXJM=/,kæbe,,,,,,,,,,,,,,,,
4320,MLTXH/,,,,,,,,,,,,,,,,,
4321,MMGRH/,,,,,,,,,,,,,,,,,
4322,MMD/,mål,,,,,,,,,,,,,,,,
4323,MMWKN/,,,,,,,,,,,,,,,,,
4324,MMWTJM/,,,,,,,,,,,,,,,,,
4325,MMZR/,,,,,,,,,,,,,,,,,
4326,MMKR/,,,,,,,,,,,,,,,,,
4327,MMKRT/,,,,,,,,,,,,,,,,,
4328,MMLKH/,kongerige,,,,,,,,,,,,,,,,
4329,MMLKWT/,kongerige,,,,,,,,,,,,,,,,
4330,MMLKT/,kongerige,,,,,,,,,,,,,,,,
4331,MMSK/,,,,,,,,,,,,,,,,,
4332,MMR/,,,,,,,,,,,,,,,,,
4333,MMR>/,,,,,,,,,,,,,,,,,
4334,MMR>=/,,,,,,,,,,,,,,,,,
4335,MMRWRJM/,,,,,,,,,,,,,,,,,
4336,MMCX/,,,,,,,,,,,,,,,,,
4337,MMCL/,,,,,,,,,,,,,,,,,
4338,MMCLH/,"herredømme, magt",,,,,,,,,,,,,,,,
4339,MMCLT/,"herredømme, magt",,,,,,,,,,,,,,,,
4340,MMCQ/,,,,,,,,,,,,,,,,,
4341,MMTQJM/,,,,,,,,,,,,,,,,,
4342,MN,"fra, ud fra, på grund af (præp); end (komp, supp)",,,,,,,,,,,,,,,,
4343,MN/,,,,,,,,,,,,,,,,,
4344,MN=,hvad,,,,,,,,,,,,,,,,
4345,MN=/,,,,,,,,,,,,,,,,,
4346,MN==/,,,,,,,,,,,,,,,,,
4347,MNGJNH/,,,,,,,,,,,,,,,,,
4348,MNH/,,,,,,,,,,,,,,,,,
4349,MNH=/,,,,,,,,,,,,,,,,,
4350,MNH==/,,,,,,,,,,,,,,,,,
4351,MNH[,,,"tælles, regnes","levere, tildele",,,,,,,,,,,,,
4352,MNHG/,,,,,,,,,,,,,,,,,
4353,MNHRH/,,,,,,,,,,,,,,,,,
4354,MNWD/,,,,,,,,,,,,,,,,,
4355,MNWX/,,,,,,,,,,,,,,,,,
4356,MNWX=/,,,,,,,,,,,,,,,,,
4357,MNWXH/,,,,,,,,,,,,,,,,,
4358,MNWN/,,,,,,,,,,,,,,,,,
4359,MNWS/,,,,,,,,,,,,,,,,,
4360,MNWSH/,,,,,,,,,,,,,,,,,
4361,MNWR/,,,,,,,,,,,,,,,,,
4362,MNWRH/,,,,,,,,,,,,,,,,,
4363,MNZRJM/,,,,,,,,,,,,,,,,,
4364,MNXH/,"gave, kornoffer, afgift",,,,,,,,,,,,,,,,
4365,MNXM/,,,,,,,,,,,,,,,,,
4366,MNXT/,,,,,,,,,,,,,,,,,
4367,MNXT=/,,,,,,,,,,,,,,,,,
4368,MNXTJ/,,,,,,,,,,,,,,,,,
4369,MNJ/,,,,,,,,,,,,,,,,,
4370,MNJ=/,,,,,,,,,,,,,,,,,
4371,MNJMJN/,,,,,,,,,,,,,,,,,
4372,MNJT/,,,,,,,,,,,,,,,,,
4373,MNLM/,,,,,,,,,,,,,,,,,
4374,MN<[,,tilbageholde,tilbageholdes,,,,,,,,,,,,,,
4375,MN<WL/,,,,,,,,,,,,,,,,,
4376,MN<L/,,,,,,,,,,,,,,,,,
4377,MN<MJM/,,,,,,,,,,,,,,,,,
4378,MN<N<JM/,,,,,,,,,,,,,,,,,
4379,MNQJT/,,,,,,,,,,,,,,,,,
4380,MNCH/,Manasse,,,,,,,,,,,,,,,,
4381,MNCJ/,,,,,,,,,,,,,,,,,
4382,MNT/,,,,,,,,,,,,,,,,,
4383,MS/,,,,,,,,,,,,,,,,,
4384,MS=/,,,,,,,,,,,,,,,,,
4385,MSB/,,,,,,,,,,,,,,,,,
4386,MSBH/,,,,,,,,,,,,,,,,,
4387,MSGR/,,,,,,,,,,,,,,,,,
4388,MSGR=/,,,,,,,,,,,,,,,,,
4389,MSGRT/,,,,,,,,,,,,,,,,,
4390,MSD/,,,,,,,,,,,,,,,,,
4391,MSDRWN/,,,,,,,,,,,,,,,,,
4392,MSH/,,,,,,,,,,,,,,,,,
4393,MSH=/,,,,,,,,,,,,,,,,,
4394,MSH==/,,,,,,,,,,,,,,,,,
4395,MSH===/,,,,,,,,,,,,,,,,,
4396,MSH[,,,,,,,"få til at smelte, opløse, væde",,,,,,,,,,
4397,MSWH/,,,,,,,,,,,,,,,,,
4398,MSWKH/,,,,,,,,,,,,,,,,,
4399,MSX,ellers,,,,,,,,,,,,,,,,
4400,MSXR/,,,,,,,,,,,,,,,,,
4401,MSK/,,,,,,,,,,,,,,,,,
4402,MSK=/,,,,,,,,,,,,,,,,,
4403,MSK[,,,,,,,,,,,,,,,,,
4404,MSKH/,,,,,,,,,,,,,,,,,
4405,MSKH=/,,,,,,,,,,,,,,,,,
4406,MSKH==/,,,,,,,,,,,,,,,,,
4407,MSKH===/,,,,,,,,,,,,,,,,,
4408,MSKN/,,,,,,,,,,,,,,,,,
4409,MSKNWT/,,,,,,,,,,,,,,,,,
4410,MSKNT/,,,,,,,,,,,,,,,,,
4411,MSKT/,,,,,,,,,,,,,,,,,
4412,MSLH/,"vej, hovedvej",,,,,,,,,,,,,,,,
4413,MSLWL/,,,,,,,,,,,,,,,,,
4414,MSMR/,,,,,,,,,,,,,,,,,
4415,MSS[,,,"smeltes, opløses",,,,,,,,,,,,,,
4416,MS</,,,,,,,,,,,,,,,,,
4417,MS<=/,,,,,,,,,,,,,,,,,
4418,MS<D/,,,,,,,,,,,,,,,,,
4419,MSPD/,,,,,,,,,,,,,,,,,
4420,MSPW>/,,,,,,,,,,,,,,,,,
4421,MSPXWT/,,,,,,,,,,,,,,,,,
4422,MSPXT/,,,,,,,,,,,,,,,,,
4423,MSPR/,antal,,,,,,,,,,,,,,,,
4424,MSPR=/,,,,,,,,,,,,,,,,,
4425,MSPRT/,,,,,,,,,,,,,,,,,
4426,MSR[,,,,,,,,,,,,,,,,,
4427,MSRWT/,,,,,,,,,,,,,,,,,
4428,MSRT/,,,,,,,,,,,,,,,,,
4429,MSTWR/,,,,,,,,,,,,,,,,,
4430,MSTR/,,,,,,,,,,,,,,,,,
4431,MSTR=/,"skjule, holde hænder for ansigt i græmmelse",,,,,,,,,,,,,,,,
4432,M<BD/,,,,,,,,,,,,,,,,,
4433,M<BH/,,,,,,,,,,,,,,,,,
4434,M<BR/,,,,,,,,,,,,,,,,,
4435,M<BRH/,,,,,,,,,,,,,,,,,
4436,M<GL/,,,,,,,,,,,,,,,,,
4437,M<GL=/,,,,,,,,,,,,,,,,,
4438,M<D[,,,,,,,,,,,,,,,,,
4439,M<DJ/,,,,,,,,,,,,,,,,,
4440,M<DJH/,,,,,,,,,,,,,,,,,
4441,M<DN/,,,,,,,,,,,,,,,,,
4442,M<DNT/,,,,,,,,,,,,,,,,,
4443,M<DR/,hakke,,,,,,,,,,,,,,,,
4444,M<H/,,,,,,,,,,,,,,,,,
4445,M<WG/,,,,,,,,,,,,,,,,,
4446,M<WZ/,,,,,,,,,,,,,,,,,
4447,M<WK/,,,,,,,,,,,,,,,,,
4448,M<WN/,,,,,,,,,,,,,,,,,
4449,M<WN=/,,,,,,,,,,,,,,,,,
4450,M<WN==/,,,,,,,,,,,,,,,,,
4451,M<WNJM/,,,,,,,,,,,,,,,,,
4452,M<WNTJ/,,,,,,,,,,,,,,,,,
4453,M<WP/,,,,,,,,,,,,,,,,,
4454,M<WR/,,,,,,,,,,,,,,,,,
4455,M<ZJH/,,,,,,,,,,,,,,,,,
4456,M<ZJHW/,,,,,,,,,,,,,,,,,
4457,M<ZN/,,,,,,,,,,,,,,,,,
4458,M<V/,"få (adj), smule (n)",,,,,,,,,,,,,,,,
4459,M<V[,,,,,,,,,,,,,,,,,
4460,M<VH/,,,,,,,,,,,,,,,,,
4461,M<VH=/,,,,,,,,,,,,,,,,,
4462,M<VPT/,,,,,,,,,,,,,,,,,
4463,M<J/,,,,,,,,,,,,,,,,,
4464,M<J=/,,,,,,,,,,,,,,,,,
4465,M<JL/,kappe,,,,,,,,,,,,,,,,
4466,M<JM/,"Indvolde, mave, indre, krop",,,,,,,,,,,,,,,,
4467,M<JN/,kilde,,,,,,,,,,,,,,,,
4468,M<K[,,,,,,,,,,,,,,,,,
4469,M<KH/,,,,,,,,,,,,,,,,,
4470,M<KH=/,,,,,,,,,,,,,,,,,
4471,M<KT/,,,,,,,,,,,,,,,,,
4472,M<KTJ/,,,,,,,,,,,,,,,,,
4473,M<L/,"oven over, opad, højeste del",,,,,,,,,,,,,,,,
4474,M<L=/,,,,,,,,,,,,,,,,,
4475,M<L==/,,,,,,,,,,,,,,,,,
4476,M<L[,,,,,,,,,,,,,,,,,
4477,M<LH/,,,,,,,,,,,,,,,,,
4478,M<LH=/,"valfart, festrejse, opstigen",,,,,,,,,,,,,,,,
4479,M<LH_>DMJM/,,,,,,,,,,,,,,,,,
4480,M<LH_GWR/,,,,,,,,,,,,,,,,,
4481,M<LH_HXRS/,,,,,,,,,,,,,,,,,
4482,M<LH_<QRBJM/,,,,,,,,,,,,,,,,,
4483,M<LL/,,,,,,,,,,,,,,,,,
4484,M<MD/,,,,,,,,,,,,,,,,,
4485,M<MD=/,,,,,,,,,,,,,,,,,
4486,M<MSH/,,,,,,,,,,,,,,,,,
4487,M<MQJM/,,,,,,,,,,,,,,,,,
4488,M<NH/,"skjulested, bolig",,,,,,,,,,,,,,,,
4489,M<NH=/,,,,,,,,,,,,,,,,,
4490,M<NH==/,,,,,,,,,,,,,,,,,
4491,M<NH===/,,,,,,,,,,,,,,,,,
4492,M<NJT/,,,,,,,,,,,,,,,,,
4493,M<Y/,,,,,,,,,,,,,,,,,
4494,M<YBH/,,,,,,,,,,,,,,,,,
4495,M<YD/,,,,,,,,,,,,,,,,,
4496,M<YWR/,,,,,,,,,,,,,,,,,
4497,M<QH/,,,,,,,,,,,,,,,,,
4498,M<QCJM/,,,,,,,,,,,,,,,,,
4499,M<R/,,,,,,,,,,,,,,,,,
4500,M<RB/,,,,,,,,,,,,,,,,,
4501,M<RB=/,,,,,,,,,,,,,,,,,
4502,M<RBH/,,,,,,,,,,,,,,,,,
4503,M<RH/,,,,,,,,,,,,,,,,,
4504,M<RH=/,,,,,,,,,,,,,,,,,
4505,M<RH==/,,,,,,,,,,,,,,,,,
4506,M<RH===/,,,,,,,,,,,,,,,,,
4507,M<RK/,,,,,,,,,,,,,,,,,
4508,M<RKH/,,,,,,,,,,,,,,,,,
4509,M<RKT/,,,,,,,,,,,,,,,,,
4510,M<RMJM/,,,,,,,,,,,,,,,,,
4511,M<RYH/,,,,,,,,,,,,,,,,,
4512,M<RT/,,,,,,,,,,,,,,,,,
4513,M<FH/,"arbejde, gerning",,,,,,,,,,,,,,,,
4514,M<FJ/,,,,,,,,,,,,,,,,,
4515,M<FJH/,,,,,,,,,,,,,,,,,
4516,M<FJHW/,,,,,,,,,,,,,,,,,
4517,M<CQWT/,,,,,,,,,,,,,,,,,
4518,M<FR/,,,,,,,,,,,,,,,,,
4519,MP/,,,,,,,,,,,,,,,,,
4520,MPG</,,,,,,,,,,,,,,,,,
4521,MPX/,,,,,,,,,,,,,,,,,
4522,MPX=/,,,,,,,,,,,,,,,,,
4523,MPJBCT/,,,,,,,,,,,,,,,,,
4524,MPJM/,,,,,,,,,,,,,,,,,
4525,MPJY/,,,,,,,,,,,,,,,,,
4526,MPL/,,,,,,,,,,,,,,,,,
4527,MPL>WT/,,,,,,,,,,,,,,,,,
4528,MPLGH/,,,,,,,,,,,,,,,,,
4529,MPLH/,,,,,,,,,,,,,,,,,
4530,MPLV/,,,,,,,,,,,,,,,,,
4531,MPLYT/,,,,,,,,,,,,,,,,,
4532,MPLF/,,,,,,,,,,,,,,,,,
4533,MPLT/,,,,,,,,,,,,,,,,,
4534,MP<L/,"gerning, arbejde",,,,,,,,,,,,,,,,
4535,MPY/,,,,,,,,,,,,,,,,,
4536,MPY=/,,,,,,,,,,,,,,,,,
4537,MPQD/,,,,,,,,,,,,,,,,,
4538,MPRY/,,,,,,,,,,,,,,,,,
4539,MPRQT/,,,,,,,,,,,,,,,,,
4540,MPRF/,,,,,,,,,,,,,,,,,
4541,MPF<H/,,,,,,,,,,,,,,,,,
4542,MPTX/,,,,,,,,,,,,,,,,,
4543,MPTX=/,,,,,,,,,,,,,,,,,
4544,MPTN/,,,,,,,,,,,,,,,,,
4545,MY/,,,,,,,,,,,,,,,,,
4546,MY=/,,,,,,,,,,,,,,,,,
4547,MY>[,,finde,blive fundet,,,,til stede,,,,,,,,,,
4548,MYB/,,,,,,,,,,,,,,,,,
4549,MYB=/,,,,,,,,,,,,,,,,,
4550,MYBH/,stenstøtte,,,,,,,,,,,,,,,,
4551,MYBH=/,,,,,,,,,,,,,,,,,
4552,MYBJH/,,,,,,,,,,,,,,,,,
4553,MYBT/,,,,,,,,,,,,,,,,,
4554,MYD/,,,,,,,,,,,,,,,,,
4555,MYH/,,,,,,,,,,,,,,,,,
4556,MYH=/,,,,,,,,,,,,,,,,,
4557,MYH==/,,,,,,,,,,,,,,,,,
4558,MYH[,,,,,,,,,,,,,,,,,
4559,MYHLWT/,,,,,,,,,,,,,,,,,
4560,MYWD/,,,,,,,,,,,,,,,,,
4561,MYWDH/,,,,,,,,,,,,,,,,,
4562,MYWDH=/,,,,,,,,,,,,,,,,,
4563,MYWDH==/,,,,,,,,,,,,,,,,,
4564,MYWH/,"befaling, ordre",,,,,,,,,,,,,,,,
4565,MYWLH/,,,,,,,,,,,,,,,,,
4566,MYWQ/,,,,,,,,,,,,,,,,,
4567,MYWQ=/,,,,,,,,,,,,,,,,,
4568,MYWQH/,"lidelse, pinsel",,,,,,,,,,,,,,,,
4569,MYWR/,,,,,,,,,,,,,,,,,
4570,MYWR=/,,,,,,,,,,,,,,,,,
4571,MYWR==/,,,,,,,,,,,,,,,,,
4572,MYWRH/,,,,,,,,,,,,,,,,,
4573,MYX/,,,,,,,,,,,,,,,,,
4574,MYXH/,,,,,,,,,,,,,,,,,
4575,MYLH/,,,,,,,,,,,,,,,,,
4576,MYLTJM/,,,,,,,,,,,,,,,,,
4577,MYNPT/,"turban, ",,,,,,,,,,,,,,,,
4578,MY</,,,,,,,,,,,,,,,,,
4579,MY<D/,,,,,,,,,,,,,,,,,
4580,MY<R/,,,,,,,,,,,,,,,,,
4581,MYPH/,,,,,,,,,,,,,,,,,
4582,MYPH=/,,,,,,,,,,,,,,,,,
4583,MYPH==/,,,,,,,,,,,,,,,,,
4584,MYPWNJM/,,,,,,,,,,,,,,,,,
4585,MYY[,,,,,,,,,,,,,,,,,
4586,MYR/,,,,,,,,,,,,,,,,,
4587,MYRJ/,egypter,,,,,,,,,,,,,,,,
4588,MYRJM/,Egypten,,,,,,,,,,,,,,,,
4589,MYRP/,,,,,,,,,,,,,,,,,
4590,MYT/,,,,,,,,,,,,,,,,,
4591,MQ/,,,,,,,,,,,,,,,,,
4592,MQBT/,,,,,,,,,,,,,,,,,
4593,MQBT=/,,,,,,,,,,,,,,,,,
4594,MQDH/,,,,,,,,,,,,,,,,,
4595,MQDC/,,,,,,,,,,,,,,,,,
4596,MQHL/,,,,,,,,,,,,,,,,,
4597,MQHLT/,,,,,,,,,,,,,,,,,
4598,MQWH/,samling,,,,,,,,,,,,,,,,
4599,MQWH=/,,,,,,,,,,,,,,,,,
