,lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
3161,J<KN/,,,,,,,,,,,,,,,,,
3162,J<L/,bjergged,,,,,,,,,,,,,,,,
3163,J<L=/,,,,,,,,,,,,,,,,,
3164,J<L[,,,,,,,,,,,,,,,,,
3165,J<LH/,,,,,,,,,,,,,,,,,
3166,J<LH=/,,,,,,,,,,,,,,,,,
3167,J<LM/,,,,,,,,,,,,,,,,,
3168,J<N/,"fordi, på grund af",,,,,,,,,,,,,,,,
3169,J<N=/,,,,,,,,,,,,,,,,,
3170,J<NH/,,,,,,,,,,,,,,,,,
3171,J<NJ/,,,,,,,,,,,,,,,,,
3172,J<P/,træt,,,,,,,,,,,,,,,,
3173,J<P=/,,,,,,,,,,,,,,,,,
3174,J<P[,,være træt,,,,,,,,,,,,,,,
3175,J<Y[,,"rådgive, råde","få rådgivning, rådføre sig med",,,,,,,,,,,,,,
3176,J<QB/,Jakob,,,,,,,,,,,,,,,,
3177,J<QBH/,,,,,,,,,,,,,,,,,
3178,J<QN/,,,,,,,,,,,,,,,,,
3179,J<R/,"skov, tykning",,,,,,,,,,,,,,,,
3180,J<R=/,,,,,,,,,,,,,,,,,
3181,J<R==/,,,,,,,,,,,,,,,,,
3182,J<RH/,,,,,,,,,,,,,,,,,
3183,J<RH=/,,,,,,,,,,,,,,,,,
3184,J<RH==/,,,,,,,,,,,,,,,,,
3185,J<RJ/,,,,,,,,,,,,,,,,,
3186,J<RJM/,,,,,,,,,,,,,,,,,
3187,J<RCJH/,,,,,,,,,,,,,,,,,
3188,J<FJ/,,,,,,,,,,,,,,,,,
3189,J<FJ>L/,,,,,,,,,,,,,,,,,
3190,JPDJH/,,,,,,,,,,,,,,,,,
3191,JPH/,"smuk, flot, ret",,,,,,,,,,,,,,,,
3192,JPH[,,,,,,,,,,,,,,,,,
3193,JPW/,Jafo,,,,,,,,,,,,,,,,
3194,JPX/,,,,,,,,,,,,,,,,,
3195,JPX[,,,,,,,,,,,,,,,,,
3196,JPJ/,,,,,,,,,,,,,,,,,
3197,JPJ</,,,,,,,,,,,,,,,,,
3198,JPJ<=/,,,,,,,,,,,,,,,,,
3199,JPLV/,,,,,,,,,,,,,,,,,
3200,JPLVJ/,,,,,,,,,,,,,,,,,
3201,JPNH/,,,,,,,,,,,,,,,,,
3202,JP<[,,,,,,,,,,,,,,,,,
3203,JP<H/,,,,,,,,,,,,,,,,,
3204,JPT/,Jafet,,,,,,,,,,,,,,,,
3205,JPTX/,,,,,,,,,,,,,,,,,
3206,JPTX=/,,,,,,,,,,,,,,,,,
3207,JPTX_>L/,,,,,,,,,,,,,,,,,
3208,JY>[,,gå ud,,,,,bringe,blive frembragt,,,,,,,,,
3209,JYB[,,,,,,"stille sig op, stå fast, ankomme",,,,,,,,,,,
3210,JYG[,,,,,,,,,,,,,,,,,
3211,JYHR/,olivenolie,,,,,,,,,,,,,,,,
3212,JYHR=/,,,,,,,,,,,,,,,,,
3213,JYHRJ/,,,,,,,,,,,,,,,,,
3214,JYW</,,,,,,,,,,,,,,,,,
3215,JYXQ/,Isak,,,,,,,,,,,,,,,,
3216,JYJ</,,,,,,,,,,,,,,,,,
3217,JY<[,,,,,,,,,,,,,,,,,
3218,JYQ[,,,,,,,,,,,,,,,,,
3219,JYQH/,,,,,,,,,,,,,,,,,
3220,JYR/,"planer, forehavender",,,,,,,,,,,,,,,,
3221,JYR=/,,,,,,,,,,,,,,,,,
3222,JYR[,,forme,,,,,,,,,,,,,,,
3223,JYRJ/,,,,,,,,,,,,,,,,,
3224,JYRJM/,,,,,,,,,,,,,,,,,
3225,JYT[,,,,,,,,,,,,,,,,,
3226,JQB/,,,,,,,,,,,,,,,,,
3227,JQBY>L/,,,,,,,,,,,,,,,,,
3228,JQD/,,,,,,,,,,,,,,,,,
3229,JQD[,,,,,,,,,,,,,,,,,
3230,JQD<M/,,,,,,,,,,,,,,,,,
3231,JQH/,,,,,,,,,,,,,,,,,
3232,JQHH/,,,,,,,,,,,,,,,,,
3233,JQWD/,,,,,,,,,,,,,,,,,
3234,JQWV/,,,,,,,,,,,,,,,,,
3235,JQWM/,,,,,,,,,,,,,,,,,
3236,JQWC/,,,,,,,,,,,,,,,,,
3237,JQWTJ>L/,,,,,,,,,,,,,,,,,
3238,JQVN/,,,,,,,,,,,,,,,,,
3239,JQJM/,,,,,,,,,,,,,,,,,
3240,JQJR/,,,,,,,,,,,,,,,,,
3241,JQMJH/,,,,,,,,,,,,,,,,,
3242,JQM<M/,,,,,,,,,,,,,,,,,
3243,JQM<M=/,,,,,,,,,,,,,,,,,
3244,JQN<M/,,,,,,,,,,,,,,,,,
3245,JQ<[,,,,,,,,,,,,,,,,,
3246,JQY[,,"være vågen, vågne op",,,,,,,,,,,,,,,
3247,JQR/,,,,,,,,,,,,,,,,,
3248,JQR=/,,,,,,,,,,,,,,,,,
3249,JQR[,,,,,,,,,,,,,,,,,
3250,JQRH/,,,,,,,,,,,,,,,,,
3251,JQC[,,,,,,,,,,,,,,,,,
